row_count,loss,perplexity,top1_accuracy,mrr,mean_target_probability,target_probability_mae,mean_top1_confidence,expected_calibration_error,mean_first_relevant_rank,method,model_seed,task
20,0.837051,2.309547,0.85,0.925,0.448353,0.551647,0.450102,0.42838,1.15,phasewrap_bias,3037,multi_needle
20,1.194889,3.303191,0.5,0.725,0.312973,0.687027,0.371333,0.237941,1.65,phasewrap_bias,3037,aggregation
20,1.147898,3.151561,0.5,0.729167,0.352816,0.647184,0.421385,0.219001,1.65,phasewrap_residual_adapter,3001,passkey_exact
20,0.85284,2.346301,0.85,0.925,0.441163,0.558837,0.442902,0.407098,1.15,phasewrap_residual_adapter,3001,multi_needle
20,1.205975,3.340014,0.5,0.725,0.308968,0.691032,0.365574,0.259685,1.65,phasewrap_residual_adapter,3001,aggregation
20,1.127708,3.08857,0.5,0.729167,0.361254,0.638746,0.432185,0.211924,1.65,phasewrap_residual_adapter,3011,passkey_exact
20,0.840942,2.31855,0.85,0.925,0.446905,0.553095,0.448412,0.429529,1.15,phasewrap_residual_adapter,3011,multi_needle
20,1.185534,3.272435,0.5,0.725,0.316026,0.683974,0.373749,0.239413,1.65,phasewrap_residual_adapter,3011,aggregation
20,1.130619,3.097574,0.5,0.729167,0.36013,0.63987,0.431304,0.213012,1.65,phasewrap_residual_adapter,3019,passkey_exact
20,0.838819,2.313632,0.85,0.925,0.4477,0.5523,0.449281,0.428844,1.15,phasewrap_residual_adapter,3019,multi_needle
20,1.187604,3.279215,0.5,0.725,0.31541,0.68459,0.373502,0.238803,1.65,phasewrap_residual_adapter,3019,aggregation
20,1.151571,3.16316,0.5,0.729167,0.351095,0.648905,0.418558,0.240621,1.65,phasewrap_residual_adapter,3023,passkey_exact
20,0.861137,2.365848,0.85,0.925,0.437514,0.562486,0.439195,0.410805,1.15,phasewrap_residual_adapter,3023,multi_needle
20,1.208871,3.349702,0.5,0.725,0.307829,0.692171,0.363199,0.220805,1.65,phasewrap_residual_adapter,3023,aggregation
20,1.145196,3.143056,0.5,0.729167,0.354041,0.645959,0.423795,0.217913,1.65,phasewrap_residual_adapter,3037,passkey_exact
20,0.847397,2.333564,0.85,0.925,0.443611,0.556389,0.445331,0.404669,1.15,phasewrap_residual_adapter,3037,multi_needle
20,1.202484,3.328373,0.5,0.725,0.310299,0.689701,0.367722,0.299015,1.65,phasewrap_residual_adapter,3037,aggregation
20,0.643084,1.902339,1.0,1.0,0.53237,0.46763,0.53237,0.46763,1.0,phasewrap_distance_adapter,3001,passkey_exact
20,0.496825,1.643495,1.0,1.0,0.618073,0.381927,0.618073,0.381927,1.0,phasewrap_distance_adapter,3001,multi_needle
20,0.669742,1.953733,1.0,1.0,0.519037,0.480963,0.484101,0.515899,1.0,phasewrap_distance_adapter,3001,aggregation
20,0.636982,1.890767,1.0,1.0,0.535982,0.464018,0.535982,0.464018,1.0,phasewrap_distance_adapter,3011,passkey_exact
20,0.445933,1.561947,1.0,1.0,0.650912,0.349088,0.650912,0.349088,1.0,phasewrap_distance_adapter,3011,multi_needle
20,0.675657,1.965323,1.0,1.0,0.515603,0.484397,0.484319,0.515681,1.0,phasewrap_distance_adapter,3011,aggregation
20,0.659649,1.934113,1.0,1.0,0.523913,0.476087,0.523913,0.476087,1.0,phasewrap_distance_adapter,3019,passkey_exact
20,0.495094,1.640653,1.0,1.0,0.620297,0.379703,0.620297,0.379703,1.0,phasewrap_distance_adapter,3019,multi_needle
20,0.684088,1.981964,1.0,1.0,0.511814,0.488186,0.477576,0.522424,1.0,phasewrap_distance_adapter,3019,aggregation
20,0.627562,1.873039,1.0,1.0,0.541291,0.458709,0.541291,0.458709,1.0,phasewrap_distance_adapter,3023,passkey_exact
20,0.415457,1.515062,1.0,1.0,0.670583,0.329417,0.670583,0.329417,1.0,phasewrap_distance_adapter,3023,multi_needle
20,0.674467,1.962986,1.0,1.0,0.516151,0.483849,0.488093,0.511907,1.0,phasewrap_distance_adapter,3023,aggregation
20,0.634292,1.885687,1.0,1.0,0.537265,0.462735,0.537265,0.462735,1.0,phasewrap_distance_adapter,3037,passkey_exact
20,0.444431,1.559603,1.0,1.0,0.65143,0.34857,0.65143,0.34857,1.0,phasewrap_distance_adapter,3037,multi_needle
20,0.671645,1.957456,1.0,1.0,0.517694,0.482306,0.484493,0.515507,1.0,phasewrap_distance_adapter,3037,aggregation
