task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
exact_offset_passkey,311,rope_relative,rope,4,2,4,3,1.0,11.192001,2.435921,2.987374,1.689229,5.415307,0.75,0.8125,0.19462,0.224292,0.525708,1.436753,4.207015,1.0,1.0,0.244901,0.244901,0.755099,1.391588,4.02123,0.75,0.875,0.250414,0.274424,0.475576
tiny_text_fact_qa,311,rope_relative,rope,4,2,4,3,1.0,11.192001,2.435921,2.987374,0.22868,1.25694,1.0,1.0,0.795681,0.795681,0.204319,0.216503,1.241726,1.0,1.0,0.806049,0.806049,0.193951,0.201004,1.22263,1.0,1.0,0.817933,0.817933,0.182067
phase_cued_retrieval,311,phasewrap_bias,phasewrap_bias,4,2,4,3,0.0,-2.300794,3.910574,-0.345151,0.765535,2.150145,0.75,0.875,0.706989,0.873101,0.239336,4.011844,55.248644,0.0,0.279412,0.01819,0.564439,0.564439,4.171689,64.824846,0.0,0.049769,0.018368,0.256235,0.256235
exact_offset_passkey,311,phasewrap_bias,phasewrap_bias,4,2,4,3,1.0,-2.300794,3.910574,-0.345151,3.522016,33.85262,0.0,0.105317,0.031915,0.165682,0.165682,2.641625,14.035994,0.0,0.375,0.071254,0.336581,0.336581,3.929693,50.89134,0.0,0.188753,0.027808,0.378921,0.378921
tiny_text_fact_qa,311,phasewrap_bias,phasewrap_bias,4,2,4,3,1.0,-2.300794,3.910574,-0.345151,0.34555,1.412766,1.0,1.0,0.709934,0.709934,0.290066,0.468709,1.59793,1.0,1.0,0.625959,0.625959,0.374041,0.682934,1.979678,1.0,1.0,0.506624,0.506624,0.493376
phase_cued_retrieval,311,phasewrap_adapter,phasewrap_adapter,4,2,4,3,0.0,-1.944936,3.891427,-0.428498,0.710163,2.034322,0.75,0.875,0.708812,0.86851,0.238902,3.836705,46.372418,0.0,0.28125,0.021569,0.564163,0.564163,4.061699,58.072917,0.0,0.052141,0.020319,0.244134,0.244134
exact_offset_passkey,311,phasewrap_adapter,phasewrap_adapter,4,2,4,3,1.0,-1.944936,3.891427,-0.428498,3.667355,39.148209,0.0,0.075658,0.027479,0.171378,0.171378,2.702277,14.913647,0.0,0.291667,0.067066,0.311197,0.311197,3.941805,51.511489,0.0,0.208065,0.03157,0.39224,0.39224
tiny_text_fact_qa,311,phasewrap_adapter,phasewrap_adapter,4,2,4,3,1.0,-1.944936,3.891427,-0.428498,0.385561,1.470439,1.0,1.0,0.682397,0.682397,0.317603,0.538858,1.714048,1.0,1.0,0.58411,0.58411,0.41589,0.784851,2.192081,1.0,1.0,0.457968,0.457968,0.542032
phase_cued_retrieval,313,no_position,no_position,4,2,4,3,0.0,0.0,3.534256,0.103387,0.024756,1.025065,1.0,1.0,0.975554,0.975554,0.024446,3.897518,49.279968,0.0,0.291667,0.022036,0.592163,0.592163,4.09641,60.124078,0.0,0.079917,0.019476,0.199868,0.199868
exact_offset_passkey,313,no_position,no_position,4,2,4,3,1.0,0.0,3.534256,0.103387,4.03302,56.431089,0.0,0.060473,0.017788,0.238714,0.238714,2.204349,9.064353,0.5,0.516667,0.474396,0.547641,0.111855,4.850768,127.838508,0.0,0.082518,0.010453,0.354419,0.354419
