seed,noise_model_id,noise_family,circuit_template,phasewrap_mean_absolute_score_error,best_positional_comparator_mean_absolute_score_error,no_position_control_mean_absolute_score_error,positional_margin_shot_quanta,control_margin_shot_quanta,stable_strict_target
1618,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_product_state_z_readout_v1,0.005645742222,0.005467455955,0.010009765625,-0.730261,17.87504,False
2718,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_product_state_z_readout_v1,0.005553019044,0.005030967853,0.010009765625,-2.138322,18.254834,False
314,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_product_state_z_readout_v1,0.005663268146,0.005683073442,0.010009765625,0.081122,17.803254,False
577,ry_offset_0p02rad,coherent_ry_angle_offset,two_ry_product_state_z_readout_v1,0.005227212483,0.005785474669,0.010009765625,2.286642,19.589338,True
1618,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.008712758824,0.008511584373,0.015625,-0.824011,28.31254,False
2718,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.008475077149,0.00760207381,0.015625,-3.575822,29.286084,False
314,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.00959240633,0.008994230668,0.015625,-2.450128,24.709504,False
577,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.009049539143,0.008611492082,0.015625,-1.794241,26.933088,False
1618,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.008712758824,0.008511584373,0.015625,-0.824011,28.31254,False
2718,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.008475077149,0.00760207381,0.015625,-3.575822,29.286084,False
314,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.00959240633,0.008994230668,0.015625,-2.450128,24.709504,False
577,ry_overrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.009049539143,0.008611492082,0.015625,-1.794241,26.933088,False
1618,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.00905610104,0.008654553323,0.015625,-1.644739,26.90621,False
2718,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.008774983886,0.007873781266,0.015625,-3.691326,28.057666,False
314,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.009992249432,0.009392610152,0.015625,-2.456122,23.071746,False
577,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_cx_parity_z_readout_v1,0.009535665935,0.008554645613,0.015625,-4.018259,24.941912,False
1618,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.00905610104,0.008654553323,0.015625,-1.644739,26.90621,False
2718,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.008774983886,0.007873781266,0.015625,-3.691326,28.057666,False
314,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.009992249432,0.009392610152,0.015625,-2.456122,23.071746,False
577,ry_underrotation_2pct,coherent_ry_angle_scale,two_ry_product_state_z_readout_v1,0.009535665935,0.008554645613,0.015625,-4.018259,24.941912,False
